duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-1,0,0,0.0117163,-0.0014764,4.98037e-05,0,0,0,0,0,0.0156067,-0.00350439,0.000204613,0,0,0.5,0,0,4.60361e-11,-1.29243e-11,2.01061e-12,0,0,0,0,0,0,0,0,0,0,
1,-0.98971,0.0294925,0.0267887,0.00630881,-0.00122737,4.98058e-05,0,0,0.0123069,0.0338256,0.0278398,0.00363523,-0.00248133,0.000204609,0,0,0.5,9.58256e-11,8.3487e-11,9.41291e-12,-7.25198e-12,5.91749e-13,0,0,0,0,0,0,0,0,0,0,
1,-0.928298,0.0973358,0.038849,0.00189739,-0.000978333,4.98036e-05,0,0,0.0753308,0.0915086,0.0259036,-0.00424403,-0.00145826,0.000204601,0,0,0.5,2.64769e-10,7.61675e-11,-1.26796e-11,-3.69305e-12,4.4198e-13,0,0,0,0,0,0,0,0,0,0,
1,-0.791144,0.177062,0.0391692,-0.00151792,-0.000729272,4.97947e-05,0,0,0.187245,0.125774,0.00646793,-0.00803105,-0.000435225,0.00020461,0,0,0.5,3.66222e-10,2.22995e-11,-2.51479e-11,3.20766e-12,-1.12244e-12,0,0,0,0,0,0,0,0,0,0,
1,-0.577111,0.248178,0.0307377,-0.00393707,-0.000480252,4.9794e-05,0,0,0.311225,0.113899,-0.0181905,-0.00772586,0.000587826,0.000204611,0,0,0.5,3.43365e-10,-4.5242e-11,-2.17479e-11,3.89644e-12,-5.0504e-13,0,0,0,0,0,0,0,0,0,0,
1,-0.302563,0.29617,0.016543,-0.0053601,-0.000231253,4.9808e-05,0,0,0.4,0.0577144,-0.035795,-0.00332842,0.00161085,-0.000101281,0,0,0.5,2.00651e-10,-9.2947e-11,-1.01732e-11,1.71374e-12,5.03486e-13,0,0,0,0,0,0,0,0,0,0,
1,0.00460922,0.3125,-0.000426777,-0.00578703,1.77797e-05,4.66451e-05,0,0,0.420101,-0.0179238,-0.037128,0.00210217,0.00110443,-0.000110771,0,0,0.5,-6.54676e-12,-1.07602e-10,1.05693e-13,3.48788e-12,-6.08402e-14,0,0,0,0,0,0,0,0,0,0,
1,0.31096,0.29459,-0.0172147,-0.00524945,0.000250998,4.66474e-05,0,0,0.368145,-0.0820093,-0.0253025,0.00541218,0.000550568,-0.000110769,0,0,0.5,-2.0773e-10,-8.68923e-11,1.16227e-11,4.30456e-12,-1.39677e-12,0,0,0,0,0,0,0,0,0,0,
1,0.583383,0.245649,-0.0309907,-0.00377897,0.000484214,4.66493e-05,0,0,0.266685,-0.114729,-0.00687029,0.00650671,-3.26163e-06,-0.000110782,0,0,0.5,-3.35874e-10,-3.71871e-11,1.48415e-11,4.05276e-12,-1.09901e-12,0,0,0,0,0,0,0,0,0,0,
1,0.794793,0.174501,-0.0389558,-0.00137562,0.000717451,4.6644e-05,0,0,0.151478,-0.109517,0.0115225,0.00538583,-0.000557139,-0.00011078,0,0,0.5,-3.55334e-10,1.77129e-11,2.10143e-11,-3.11751e-12,9.29035e-13,0,0,0,0,0,0,0,0,0,0,
1,0.929727,0.0955654,-0.0383115,0.00196062,0.000950677,4.66445e-05,0,0,0.0582014,-0.0730968,0.0232294,0.00204948,-0.00111101,-0.000110775,0,0,0.5,-2.64565e-10,7.13296e-11,1.04361e-11,-3.27294e-13,-1.99163e-12,0,0,0,0,0,0,0,0,0,0,
1,0.989939,0.0288602,-0.0262592,0.00622977,0.0011839,4.6643e-05,0,0,0.0091616,-0.0254876,0.021604,-0.00350232,-0.00166488,-0.000110774,0,0,0.5,-1.02336e-10,8.48264e-11,-1.32978e-11,-4.95781e-12,-1.51879e-12,0,0,0,0,0,0,0,0,0,0,
